,station_id,start_count,end_count,start_min,end_min,start_max,end_max
519,558,23,20,2016-06-26 13:53:00,2016-06-26 15:01:00,2017-11-22 14:07:00,2017-11-09 09:39:00
520,568,35,38,2016-06-25 18:57:00,2016-06-25 19:24:00,2017-12-09 15:56:00,2017-11-10 14:11:00
521,556,37,28,2016-06-25 14:47:00,2016-06-25 16:26:00,2017-11-02 14:55:00,2017-12-11 16:13:00
522,572,163,173,2016-06-24 17:53:00,2016-06-24 18:57:00,2017-12-22 20:43:00,2017-12-22 20:43:00
523,543,159,174,2016-06-17 16:11:00,2016-06-16 19:39:00,2017-11-26 11:16:00,2017-11-26 12:44:00
524,559,49,50,2016-06-21 12:15:00,2016-06-21 15:15:00,2017-12-11 16:08:00,2017-10-31 13:28:00
525,580,260,257,2016-07-29 20:38:40,2016-08-01 11:45:23,2017-11-29 16:27:00,2017-12-09 23:43:00
526,520,3612,3663,2016-07-07 14:19:46,2016-07-08 02:04:09,2017-12-31 13:25:00,2017-12-31 14:40:00
527,526,592,693,2016-07-14 09:27:13,2016-07-08 17:39:14,2017-12-30 17:23:00,2017-12-28 10:53:00
528,602,1760,1685,2016-07-08 17:26:05,2016-07-08 16:35:00,2017-12-26 17:59:00,2017-12-22 17:12:00
529,517,1292,1294,2016-07-08 19:23:01,2016-07-08 19:22:58,2017-12-22 22:42:00,2017-12-23 17:00:00
530,523,3606,3300,2016-07-08 08:04:01,2016-07-07 17:20:27,2017-12-31 22:09:00,2017-12-30 23:10:00
531,525,1102,1024,2016-07-08 18:23:15,2016-07-08 18:37:30,2017-12-25 16:52:00,2017-12-25 16:51:00
532,604,4645,4729,2016-07-01 14:39:14,2016-07-01 15:38:48,2017-12-31 13:33:00,2017-12-31 13:56:00
533,605,4500,4593,2016-07-01 17:18:53,2016-07-01 17:20:45,2017-12-23 15:12:00,2017-12-28 08:07:00
534,515,2838,3081,2016-07-08 18:47:19,2016-07-08 22:39:28,2017-12-30 23:05:00,2017-12-30 19:50:00
535,592,725,585,2016-07-12 12:41:24,2016-07-12 12:52:03,2017-12-23 18:38:00,2017-12-22 16:08:00
536,612,882,911,2016-07-28 19:35:36,2016-07-27 19:56:41,2017-06-30 19:33:21,2017-06-30 23:41:59
537,619,1261,1319,2016-07-12 17:13:21,2016-07-12 17:13:06,2017-12-28 09:06:00,2017-12-22 07:49:00
538,620,5331,4905,2016-09-09 17:18:44,2016-09-10 12:22:10,2017-12-31 16:42:00,2017-12-31 16:35:00
539,405,2527,2295,2016-07-11 15:46:45,2016-07-11 15:46:28,2017-12-30 02:48:00,2017-12-31 16:18:00
540,603,4327,3925,2016-07-01 15:56:22,2016-07-01 15:58:38,2017-12-21 17:39:00,2017-12-21 12:29:00
541,607,846,922,2016-07-01 07:39:22,2016-07-01 12:44:35,2017-06-30 23:52:54,2017-06-30 23:33:35
542,591,546,693,2016-09-23 17:58:02,2016-09-24 18:41:14,2017-12-22 18:20:00,2017-12-22 08:54:00
543,589,527,585,2016-07-12 16:17:01,2016-07-12 20:57:40,2017-12-23 17:54:00,2017-12-23 16:33:00
544,583,97,78,2016-08-07 10:19:39,2016-08-03 21:13:05,2017-12-22 14:54:00,2017-12-22 14:12:00
545,590,932,776,2016-07-21 16:27:42,2016-07-20 20:34:54,2017-12-29 11:35:00,2017-12-22 16:27:00
546,606,1617,1373,2016-07-07 07:17:48,2016-07-06 17:48:56,2017-06-30 12:47:24,2017-06-30 18:48:06
547,522,1156,1147,2016-07-08 08:11:00,2016-07-08 18:17:14,2017-12-27 15:48:00,2017-12-27 18:04:00
548,608,276,191,2016-07-05 07:28:02,2016-07-01 13:57:12,2017-06-30 11:03:46,2017-06-30 17:48:58
549,519,471,481,2016-07-08 07:56:19,2016-07-08 21:47:14,2017-12-21 12:24:00,2017-12-22 14:54:00
550,524,279,276,2016-07-21 18:50:11,2016-07-26 17:19:05,2017-12-18 13:14:00,2017-12-22 22:03:00
551,514,918,863,2016-07-23 12:36:27,2016-07-23 13:53:02,2017-12-29 12:48:00,2017-12-30 22:53:00
552,598,755,931,2016-07-01 17:06:14,2016-07-01 14:50:51,2017-12-27 08:30:00,2017-12-26 16:40:00
553,585,256,259,2016-07-31 11:18:57,2016-07-31 17:34:10,2017-12-23 15:15:00,2017-12-23 15:14:00
554,578,98,93,2016-08-21 17:13:08,2016-08-24 19:44:12,2017-11-27 14:36:00,2017-11-27 14:35:00
555,550,84,99,2016-07-24 23:33:20,2016-07-24 18:00:27,2017-11-08 13:14:00,2017-11-10 18:45:00
556,573,339,330,2016-07-26 15:06:16,2016-07-25 20:19:34,2017-12-30 16:43:00,2017-12-30 16:40:00
557,527,656,664,2016-07-09 10:04:59,2016-07-09 10:04:40,2017-12-23 16:52:00,2017-12-28 12:08:00
558,584,31,31,2016-08-09 18:44:34,2016-08-09 20:30:52,2017-10-03 14:25:00,2017-11-09 17:54:00
559,575,197,190,2016-07-28 12:57:37,2016-07-28 13:00:21,2017-12-30 03:19:00,2017-12-30 17:24:00
560,599,592,635,2016-07-01 21:05:18,2016-07-01 19:42:28,2017-12-22 13:15:00,2017-12-29 13:24:00
561,595,58,81,2016-08-09 01:27:14,2016-08-09 09:50:30,2017-11-20 15:23:00,2017-12-03 23:14:00
